file_id.serial_number,file_id.time_created,file_id.manufacturer,file_id.garmin_product,file_id.number,file_id.type,device_info.timestamp[s],device_info.serial_number,device_info.manufacturer,device_info.garmin_product,device_info.software_version,software.version,unknown.unknown,monitoring_info.timestamp[s],monitoring_info.local_timestamp[s],monitoring_info.cycles_to_distance[m/cycle],monitoring_info.cycles_to_calories[kcal/cycle],monitoring_info.unknown,monitoring_info.resting_metabolic_rate[kcal / day],monitoring_info.activity_type,monitoring.timestamp[s],monitoring.unknown,ohr_settings.timestamp[s],ohr_settings.enabled,event.timestamp[s],event.data16,event.event,event.event_type,event.data,stress_level.stress_level_time[s],stress_level.stress_level_value,stress_level.unknown,respiration_rate.timestamp,respiration_rate.respiration_rate[breaths/min],event.auto_activity_detect_start_timestamp[s],event.activity_type,event.auto_activity_detect_duration[min],monitoring.current_activity_type_intensity,monitoring.activity_type,monitoring.intensity,monitoring.timestamp_16[s],monitoring.heart_rate[bpm],
"3478404119","1093557600","1","4394","143","32",,
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","200",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","200","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","96|93|46|65|0|2|0|224|230|0|0|192|205|1|0|0|0|0|0|0|0|0|0|0|0","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","96|93|46|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","96|93|46|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","96|93|46|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","96|93|46|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","96|93|46|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557600","200","78","3","200",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","96|93|46|65|0|2|0|224|230|0|0|192|205|1|0|0|0|0|0|0|0|0|0|0|0","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557600","200","78","3","200",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","96|93|46|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557600","200","78","3","200",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","24|0|4|240","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557600","200","78","3","200",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","24|0|4|240","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557600","200","78","3","200","1093557660","-1","1",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","24|0|4|240","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557600","200","78","3","200","1093557660","-1","1","1093557660","-2.0",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","0|0|0|72","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557600","200","78","3","200","1093557660","-1","1","1093557660","-2.0",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","0|0|0|72","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557720","2","54","3","200","1093557660","-1","1","1093557660","-2.0","1093556700","8","2",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","0|0|0|72","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557720","2","54","3","200","1093557720","-1","1","1093557660","-2.0","1093556700","8","2",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","0|0|0|72","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557720","2","54","3","200","1093557720","-1","1","1093557720","-2.0","1093556700","8","2",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","0|0|0|80","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557720","2","54","3","200","1093557720","-1","1","1093557720","-2.0","1093556700","8","2",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","0|0|0|80","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557780","1","54","3","200","1093557720","-1","1","1093557720","-2.0","1093556820","0","1",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","0|0|0|80","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557780","1","54","3","200","1093557780","-1","2","1093557720","-2.0","1093556820","0","1",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","0|0|0|80","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557780","1","54","3","200","1093557780","-1","2","1093557780","-2.0","1093556820","0","1",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","29|2|0|0","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557780","1","54","3","200","1093557780","-1","2","1093557780","-2.0","1093556820","0","1",
"3478404119","1093557600","1","4394","143","32","1093557600","3478404119","1","4394","16.11","6.0","29|2|0|0","1093557600","1093564800","1.7622|2.6432","0.0982|0.3092","11420|11420","2837","6|1","1093557600","0","1093557600","1","1093557780","1","54","3","200","1093557840","-1","2","1093557780","-2.0","1093556820","0","1",
