file_id.serial_number,file_id.time_created,file_id.manufacturer,file_id.garmin_product,file_id.number,file_id.type,device_info.timestamp[s],device_info.serial_number,device_info.manufacturer,device_info.garmin_product,device_info.software_version,software.version,unknown.unknown,monitoring_info.timestamp[s],monitoring_info.local_timestamp[s],monitoring_info.cycles_to_distance[m/cycle],monitoring_info.cycles_to_calories[kcal/cycle],monitoring_info.unknown,monitoring_info.resting_metabolic_rate[kcal / day],monitoring_info.activity_type,monitoring.timestamp[s],monitoring.distance[m],monitoring.cycles[cycles],monitoring.active_time[s],monitoring.active_calories[kcal],monitoring.duration_min[min],monitoring.activity_type,monitoring.steps[steps],monitoring.unknown,monitoring_hr_data.timestamp[s],monitoring_hr_data.resting_heart_rate[bpm],monitoring_hr_data.current_day_resting_heart_rate[bpm],ohr_settings.timestamp[s],ohr_settings.enabled,event.timestamp[s],event.data16,event.event,event.event_type,event.data,stress_level.stress_level_time[s],stress_level.stress_level_value,stress_level.unknown,respiration_rate.timestamp,respiration_rate.respiration_rate[breaths/min],monitoring.timestamp_16[s],monitoring.heart_rate[bpm],monitoring.current_activity_type_intensity,monitoring.intensity,event.auto_activity_detect_start_timestamp[s],event.activity_type,event.auto_activity_detect_duration[min],
"3478404119","1096348080","1","4394","73","32",,
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","200","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","205|241|88|65|0|2|0|224|230|0|0|192|205|1|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","205|241|88|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","205|241|88|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","0.0","0.0","180.0","13","428","0",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","205|241|88|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","205|241|88|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","205|241|88|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","205|241|88|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","205|241|88|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","205|241|88|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","40|0|0|248","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","208|241|88|65|3|0|99|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","208|241|88|65|3|3|19|34|0|0|233|255|255|255|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","208|241|88|65|3|4|104|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","208|241|88|65|3|5|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","208|241|88|65|3|6|75|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","208|241|88|65|3|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","208|241|88|65|3|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","208|241|88|65|3|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","208|241|88|65|3|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","208|241|88|65|3|11|44|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200",
"3478404119","1096348080","1","4394","73","32","1096348080","3478404119","1","4394","16.11","6.0","208|241|88|65|3|11|44|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1096348080","1096355280","1.7622|2.6432","0.0982|0.3092","5510|5510","2837","6|1","1096348080","87.23","0.0","240.0","16","428","6","99","0","1096348080","54","57","1096348080","1","1096348109","200","78","3","200","1096348140","15","1",
