file_id.serial_number,file_id.time_created,file_id.manufacturer,file_id.garmin_product,file_id.number,file_id.type,device_info.timestamp[s],device_info.serial_number,device_info.manufacturer,device_info.garmin_product,device_info.software_version,software.version,unknown.unknown,monitoring_info.timestamp[s],monitoring_info.local_timestamp[s],monitoring_info.cycles_to_distance[m/cycle],monitoring_info.cycles_to_calories[kcal/cycle],monitoring_info.unknown,monitoring_info.resting_metabolic_rate[kcal / day],monitoring_info.activity_type,monitoring.timestamp[s],monitoring.unknown,ohr_settings.timestamp[s],ohr_settings.enabled,event.timestamp[s],event.data16,event.event,event.event_type,event.data,stress_level.stress_level_time[s],stress_level.stress_level_value,stress_level.unknown,respiration_rate.timestamp,respiration_rate.respiration_rate[breaths/min],monitoring.timestamp_16[s],monitoring.heart_rate[bpm],monitoring.current_activity_type_intensity,monitoring.activity_type,monitoring.intensity,monitoring.steps[steps],monitoring.active_time[s],monitoring.active_calories[kcal],event.auto_activity_detect_start_timestamp[s],event.activity_type,event.auto_activity_detect_duration[min],monitoring.distance[m],monitoring.duration_min[min],monitoring_hr_data.timestamp[s],monitoring_hr_data.resting_heart_rate[bpm],monitoring_hr_data.current_day_resting_heart_rate[bpm],
"3478404119","1095458400","1","4394","9","32",,
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","200",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","200","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","96|94|75|65|0|2|0|224|230|0|0|192|205|1|0|0|0|0|0|0|0|0|0|0|0","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","96|94|75|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","96|94|75|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","96|94|75|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","96|94|75|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","96|94|75|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","96|94|75|65|0|2|0|224|230|0|0|192|205|1|0|0|0|0|0|0|0|0|0|0|0","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","96|94|75|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","0|0|0|64","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","0|0|0|64","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200","1095458460","11","1",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","0|0|0|64","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200","1095458460","11","1","1095458460","15.71",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","156|94|75|65|1|0|61|61|54|1|0|92|4|188|122|75|65|0|0|0|0|0|0|0|0","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200","1095458460","11","1","1095458460","15.71",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","156|94|75|65|1|1|56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200","1095458460","11","1","1095458460","15.71",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","156|94|75|65|1|1|56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200","1095458460","11","1","1095458460","15.71","24220","61",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","0|0|0|72","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200","1095458460","11","1","1095458460","15.71","24220","61",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","0|0|0|72","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200","1095458520","11","1","1095458460","15.71","24220","61",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","0|0|0|72","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200","1095458520","11","1","1095458520","15.74","24220","61",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","0|0|0|72","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200","1095458520","11","1","1095458520","15.74","24280","60",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","0|0|0|80","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200","1095458520","11","1","1095458520","15.74","24280","60",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","0|0|0|80","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200","1095458580","10","1","1095458520","15.74","24280","60",
"3478404119","1095458400","1","4394","9","32","1095458400","3478404119","1","4394","16.11","6.0","0|0|0|80","1095458400","1095465600","1.7622|2.6432","0.0982|0.3092","5020|5020","2837","6|1","1095458400","0","1095458400","1","1095458400","200","78","3","200","1095458580","10","1","1095458580","15.43","24280","60",
